batter,season,season_year,runs,balls,fours,sixes,dismissals,strike_rate,average
V Shankar,2025,2025,118,91,8,3,3,129.67032967032966,39.333333333333336
V Suryavanshi,2025,2025,252,122,18,24,7,206.55737704918033,36.0
V Suryavanshi,2026,2026,404,170,35,37,10,237.64705882352942,40.4
V Viyaskanth,2024,2024,7,5,0,0,0,140.0,7.0
VG Arora,2022,2022,5,13,0,0,2,38.46153846153847,2.5
VG Arora,2023,2023,3,2,0,0,0,150.0,3.0
VG Arora,2024,2024,1,1,0,0,0,100.0,1.0
VG Arora,2025,2025,0,8,0,0,2,0.0,0.0
VG Arora,2026,2026,1,3,0,0,0,33.33333333333333,1.0
VH Zol,2014,2014,29,26,3,1,2,111.53846153846155,14.5
VR Aaron,2011,2011,0,5,0,0,0,0.0,0.0
VR Aaron,2012,2012,1,3,0,0,1,33.33333333333333,1.0
VR Aaron,2014,2014,35,34,2,1,0,102.94117647058823,35.0
VR Aaron,2015,2015,6,3,0,1,1,200.0,6.0
VR Aaron,2017,2017,4,10,0,0,1,40.0,4.0
VR Aaron,2019,2019,3,7,0,0,0,42.857142857142854,3.0
VR Aaron,2020/21,2020,1,10,0,0,1,10.0,1.0
